,t_id,	,rt_id,	,nbpartages,	,nbmentions,
,133663801,	,1379019084,	,2,	,0,
,68440549,	,107555476,	,1,	,0,
,2156498427,	,152681227,	,2,	,0,
,338985020,	,1882930656,	,3,	,0,
,195853858,	,732788467,	,1,	,0,
,425188796,	,60340440,	,1,	,0,
,133663801,	,515928099,	,2,	,0,
,1692116370,	,206963378,	,1,	,0,
,81801717,	,425334189,	,1,	,0,
,24744541,	,1158333535,	,1,	,0,
,1343948684,	,546111066,	,1,	,0,
,24744541,	,1266436938,	,14,	,0,
,24744541,	,1407780158,	,1,	,0,
,376812938,	,1180224805,	,1,	,0,
,21313364,	,1255603832,	,2,	,0,
,826152762,	,2420424494,	,1,	,0,
,1904299675,	,17710592,	,1,	,0,
,444923081,	,438562087,	,2,	,0,
,34867057,	,1442835943,	,1,	,0,
,38395124,	,141506322,	,1,	,0,
,12272292,	,291576201,	,1,	,0,
,24744541,	,99512572,	,1,	,0,
,104184883,	,1071337556,	,1,	,0,
,206676362,	,2461785254,	,1,	,0,
,1102290619,	,2320354149,	,1,	,0,
,8350912,	,1406618677,	,1,	,0,
,133663801,	,1283256739,	,3,	,0,
,132513909,	,9722742,	,1,	,0,
,1568353904,	,915390589,	,1,	,0,
,14303437,	,562218868,	,1,	,0,
,8350912,	,622260280,	,1,	,0,
,3639301,	,394838446,	,1,	,0,
,757724065,	,523320293,	,1,	,0,
,25049177,	,2566048726,	,2,	,0,
,2345097104,	,352941955,	,1,	,0,
,604704562,	,116135875,	,3,	,0,
,127904468,	,813288422,	,1,	,0,
,563110956,	,532402133,	,1,	,0,
,369914677,	,436846029,	,1,	,0,
,54352098,	,268542819,	,1,	,0,
,96138456,	,718068708,	,1,	,0,
,153329640,	,1003396310,	,1,	,0,
,524333873,	,1540648200,	,1,	,0,
,19976004,	,218434822,	,6,	,0,
,133663801,	,607424941,	,3,	,0,
,197816493,	,165572090,	,1,	,0,
,100471877,	,792163483,	,1,	,0,
,127904468,	,2601477697,	,1,	,0,
,202249932,	,231529929,	,1,	,0,
,370279106,	,1185280417,	,1,	,0,
,8350912,	,414800024,	,1,	,0,
,18936161,	,1285668356,	,1,	,0,
,74167992,	,833222528,	,2,	,0,
,1538796156,	,98631543,	,1,	,0,
,1013402766,	,23418981,	,1,	,0,
,2323555374,	,2460955658,	,1,	,0,
,344635552,	,68173232,	,1,	,0,
,2649991,	,172527558,	,2,	,0,
,2304825019,	,22005505,	,1,	,0,
,6652032,	,416652543,	,1,	,0,
,493097369,	,125977519,	,1,	,0,
,186175688,	,1093072099,	,1,	,0,
,25048816,	,1294048106,	,2,	,0,
,867610632,	,1507561645,	,1,	,0,
,114704955,	,262733067,	,1,	,0,
,945473418,	,46127393,	,1,	,0,
,2649991,	,34555296,	,2,	,0,
,154586685,	,2615667427,	,1,	,0,
,57579992,	,391462187,	,1,	,0,
,8460572,	,2569865541,	,1,	,0,
,47399805,	,2729186902,	,1,	,0,
,15725777,	,393990733,	,1,	,0,
,314615134,	,1298912510,	,1,	,0,
,537510180,	,627457747,	,1,	,0,
,1520417005,	,1043201628,	,1,	,0,
,424188919,	,373354729,	,1,	,0,
,361900959,	,408532205,	,1,	,0,
,1114523520,	,271644820,	,2,	,0,
,134037846,	,2352606003,	,1,	,0,
,38395124,	,849115849,	,2,	,0,
,90434883,	,2712448354,	,1,	,0,
,24744541,	,1324059482,	,1,	,0,
,590284484,	,2586306738,	,2,	,0,
,92288520,	,1163688325,	,1,	,0,
,2560397118,	,2469315170,	,1,	,0,
,364513528,	,2469300506,	,1,	,0,
,39048311,	,15720541,	,1,	,0,
,1050105727,	,567385888,	,1,	,0,
,190668307,	,1389802206,	,1,	,0,
,133663801,	,1006997100,	,1,	,0,
,2517744906,	,1239876049,	,1,	,0,
,95746855,	,2610009600,	,1,	,0,
,52170808,	,1019529505,	,1,	,0,
,25049177,	,2777051173,	,1,	,0,
,168521753,	,121658831,	,3,	,0,
,8350912,	,53885136,	,1,	,0,
,50939966,	,2485748058,	,2,	,0,
,556103429,	,431012694,	,1,	,0,
,342015978,	,118785448,	,1,	,0,
,2649991,	,1191058046,	,1,	,0,
,256988281,	,542694471,	,1,	,0,
,213579409,	,894800684,	,1,	,0,
,338985020,	,38605277,	,1,	,0,
,1858109869,	,554320831,	,1,	,0,
,1084092644,	,801188828,	,1,	,0,
,24744541,	,2724757691,	,1,	,0,
,223966983,	,41154227,	,1,	,0,
,706748719,	,1281026822,	,1,	,0,
,24744541,	,509239757,	,4,	,0,
,255062650,	,267123630,	,1,	,0,
,25049056,	,90757651,	,1,	,0,
,90540453,	,406006743,	,1,	,0,
,133663801,	,280071673,	,1,	,0,
,38395124,	,2205839791,	,50,	,0,
,1218850496,	,401853758,	,1,	,1,
,2819952804,	,2817042625,	,1,	,0,
,24744541,	,43452377,	,2,	,0,
,2560924640,	,2814766794,	,1,	,0,
,8350912,	,1398227082,	,1,	,0,
,114704955,	,328560205,	,1,	,0,
,1858109869,	,2450344201,	,1,	,0,
,1443906360,	,2491636656,	,1,	,0,
,312320002,	,2244126290,	,1,	,0,
,8350912,	,575144935,	,1,	,0,
,534267036,	,18578222,	,1,	,0,
,75312032,	,2462896003,	,1,	,0,
,493170067,	,2274667874,	,3,	,0,
,1083404928,	,2823133645,	,1,	,0,
,1468270848,	,347428858,	,1,	,0,
,2613432702,	,582749346,	,1,	,0,
,29956249,	,427247176,	,1,	,0,
,84922844,	,1162926205,	,1,	,0,
,24744541,	,2663808152,	,6,	,0,
,25048816,	,109567991,	,2,	,0,
,1063274202,	,2564651875,	,1,	,0,
,436915779,	,2478466423,	,1,	,0,
,298587656,	,131852896,	,1,	,0,
,583190392,	,866363054,	,1,	,0,
,1691421426,	,611050075,	,1,	,0,
,17900385,	,95688658,	,1,	,0,
,481452890,	,305051600,	,1,	,0,
,38395124,	,2469157063,	,1,	,0,
,2559552956,	,2601489842,	,1,	,0,
,338985020,	,81167940,	,11,	,0,
,19012972,	,2331629905,	,2,	,0,
,79145543,	,62900248,	,1,	,0,
,338985020,	,2697568945,	,1,	,0,
,2437149888,	,488675672,	,1,	,0,
,609947411,	,2316855034,	,1,	,0,
,21313364,	,291933724,	,1,	,0,
,66842140,	,527715676,	,1,	,0,
,16501966,	,478523852,	,1,	,0,
,298975744,	,1407067878,	,1,	,0,
,369435455,	,2292680774,	,1,	,0,
,1564064646,	,2437162404,	,1,	,0,
,15838516,	,463639623,	,2,	,0,
,227430215,	,215367435,	,1,	,0,
,133663801,	,461198587,	,1,	,0,
,17044073,	,412991320,	,1,	,0,
,2328488472,	,2459730762,	,1,	,0,
,8350912,	,553883185,	,1,	,0,
,35190116,	,357625824,	,1,	,0,
,2439841758,	,2829478056,	,1,	,0,
,59816323,	,231147202,	,1,	,0,
,556139313,	,129304352,	,1,	,0,
,20696007,	,1270273670,	,1,	,0,
,21313364,	,2329253719,	,2,	,0,
,18936161,	,1658674922,	,2,	,0,
,1601369444,	,2787061121,	,1,	,0,
,376812938,	,54852289,	,1,	,0,
,38395124,	,440976272,	,7,	,0,
,1139268894,	,1244317536,	,1,	,0,
,19976004,	,418106889,	,1,	,0,
,87156428,	,1543872492,	,1,	,0,
,29965737,	,168440343,	,1,	,0,
,53871000,	,184737970,	,1,	,0,
,482263573,	,2530784166,	,2,	,0,
,2361313322,	,2339350136,	,1,	,0,
,92564226,	,474316779,	,1,	,0,
,59816323,	,615992171,	,1,	,0,
,2362631311,	,1949625690,	,1,	,0,
,437270520,	,127659284,	,1,	,0,
,8350912,	,59151657,	,1,	,0,
,532183530,	,34648962,	,1,	,0,
,24744541,	,488299091,	,1,	,0,
,336540928,	,1436751918,	,1,	,0,
,20224969,	,49637370,	,1,	,0,
,19240358,	,2766577577,	,2,	,0,
,93966147,	,2410734481,	,1,	,0,
,68440549,	,166498771,	,1,	,0,
,364513528,	,132877823,	,1,	,0,
,132192935,	,2407316754,	,1,	,0,
,2324354546,	,120532934,	,1,	,0,
,10906742,	,43657540,	,1,	,0,
,403576236,	,2601421998,	,1,	,0,
,21313364,	,66735997,	,1,	,0,
,133663801,	,630256683,	,1,	,0,
,475361997,	,16388742,	,1,	,0,
,20127219,	,520725517,	,1,	,0,
,409241026,	,2282998363,	,1,	,0,
,132543309,	,81205823,	,1,	,0,
,2649991,	,256179421,	,2,	,0,
,2323555374,	,2279504341,	,1,	,0,
,8350912,	,927095779,	,1,	,0,
,8460572,	,136378512,	,1,	,0,
,6652032,	,155890203,	,1,	,0,
,21313364,	,2178022416,	,2,	,0,
,21313364,	,2285161082,	,3,	,0,
,545514423,	,400402364,	,1,	,0,
,122409914,	,1561689090,	,1,	,0,
,614357632,	,2402228695,	,1,	,0,
,18936161,	,2356664873,	,1,	,0,
,2564180662,	,477971953,	,1,	,0,
,24744541,	,1014126192,	,8,	,0,
,1613009941,	,2601463723,	,1,	,0,
,590284484,	,2438468202,	,7,	,0,
,7189352,	,1063696081,	,1,	,0,
,910403276,	,903872023,	,1,	,0,
,38142665,	,213063682,	,1,	,0,
,2373171826,	,475651407,	,1,	,0,
,8460572,	,2427848420,	,1,	,0,
,93149508,	,2217476803,	,1,	,0,
,556043749,	,2468970051,	,3,	,0,
,8350912,	,2759741830,	,1,	,0,
,305681798,	,2823571386,	,1,	,0,
,942428197,	,943642310,	,1,	,0,
,1620754188,	,2406319981,	,1,	,0,
,88657577,	,303590335,	,5,	,0,
,8460572,	,2703709807,	,2,	,0,
,191845729,	,121742756,	,1,	,0,
,557529388,	,2547698905,	,1,	,0,
,278199679,	,738374418,	,2,	,0,
,68440549,	,2488474788,	,4,	,0,
,24744541,	,2673227666,	,1,	,0,
,8350912,	,2469468188,	,1,	,0,
,830762894,	,1276060129,	,1,	,0,
,364513528,	,293619201,	,2,	,0,
,291678033,	,252756702,	,1,	,0,
,1994321,	,59527288,	,20,	,0,
,25048816,	,316319516,	,111,	,0,
,38142665,	,2744694757,	,1,	,0,
,2228112871,	,262606743,	,1,	,0,
,15566589,	,607618240,	,1,	,0,
,557529388,	,2601496226,	,1,	,0,
,2823456542,	,2824136485,	,2,	,0,
,9651232,	,2445333557,	,1,	,0,
,408495613,	,754777338,	,1,	,0,
,1859679907,	,168282129,	,1,	,0,
,74400293,	,424918670,	,1,	,0,
,24744541,	,19256842,	,1,	,1,
,48132679,	,313526232,	,1,	,0,
,475945487,	,573868550,	,1,	,0,
,247933835,	,2615464507,	,1,	,0,
,557529388,	,1230524840,	,3,	,0,
,1378217570,	,194045521,	,1,	,0,
,15808212,	,2332239111,	,1,	,0,
,2649991,	,621136334,	,1,	,0,
,21313364,	,1077432001,	,2,	,0,
,88462044,	,1596006396,	,1,	,0,
,1883851662,	,611275488,	,1,	,0,
,74400293,	,349395388,	,1,	,0,
,275625008,	,572165718,	,1,	,0,
,457837960,	,2236457643,	,1,	,0,
,19820740,	,116329958,	,1,	,0,
,318341978,	,559877880,	,1,	,0,
,2289406292,	,1443173804,	,1,	,1,
,8460572,	,21694313,	,1,	,0,
,71748882,	,251476138,	,2,	,0,
,2190317246,	,477088995,	,2,	,0,
,2586848929,	,2412183275,	,1,	,0,
,38142665,	,520774183,	,4,	,0,
,87764401,	,982598773,	,2,	,0,
,235199409,	,59849433,	,1,	,0,
,18936161,	,1333110114,	,1,	,0,
,25048816,	,1489976264,	,1,	,0,
,24744541,	,1511654497,	,3,	,0,
,24744541,	,913400870,	,4,	,0,
,395119889,	,1549877912,	,3,	,0,
,114704955,	,1893541224,	,1,	,0,
,2649991,	,404973822,	,1,	,0,
,1955666635,	,2400192613,	,1,	,0,
,2601466418,	,73677880,	,1,	,0,
,402223330,	,2264130177,	,1,	,0,
,83864876,	,513725235,	,1,	,0,
,47399805,	,1119039326,	,1,	,0,
,455900057,	,114599395,	,1,	,0,
,244137374,	,113756658,	,1,	,0,
,321237577,	,2586459877,	,1,	,0,
,1598369090,	,1875997250,	,1,	,0,
,25048816,	,2169417835,	,1,	,0,
,20224969,	,153367507,	,2,	,0,
,338985020,	,1485977636,	,17,	,0,
,29685252,	,2170829073,	,1,	,0,
,1084092644,	,1109101213,	,2,	,0,
,1133913348,	,41667487,	,1,	,0,
,2601464780,	,2560821114,	,1,	,0,
,457444998,	,2470811394,	,1,	,0,
,619196807,	,133039454,	,1,	,0,
,43068402,	,117216504,	,1,	,0,
,83864876,	,111044130,	,1,	,0,
,556139313,	,1592270923,	,1,	,0,
,217841423,	,880928010,	,1,	,0,
,157010348,	,352480182,	,1,	,0,
,301480200,	,1320758875,	,7,	,0,
,8350912,	,585050582,	,1,	,0,
,8350912,	,231140504,	,1,	,0,
,398156583,	,389311771,	,1,	,0,
,24744541,	,2601481134,	,4,	,0,
,363718439,	,19341180,	,1,	,3,
,379756251,	,267123630,	,2,	,0,
,1911531277,	,385605274,	,1,	,0,
,1860781968,	,780563401,	,3,	,0,
,18936161,	,2559293064,	,10,	,0,
,307857861,	,2430177911,	,1,	,0,
,727939406,	,498767003,	,1,	,0,
,198890039,	,49362107,	,1,	,0,
,436228063,	,2282540509,	,1,	,0,
,68440549,	,774304069,	,1,	,0,
,855417048,	,2294547002,	,2,	,0,
,2649991,	,305101159,	,2,	,0,
,105508059,	,946821066,	,1,	,0,
,90891428,	,487024772,	,1,	,0,
,2305504259,	,735253531,	,1,	,0,
,813917126,	,714586631,	,1,	,0,
,285239924,	,242300864,	,1,	,0,
,953911933,	,186085145,	,1,	,0,
,866692884,	,1349099605,	,1,	,0,
,250694809,	,977803670,	,1,	,0,
,1994321,	,230831861,	,1,	,0,
,1058342240,	,825795655,	,1,	,0,
,43301934,	,2179821583,	,7,	,0,
,24744541,	,2722169836,	,4,	,0,
,163851588,	,360753449,	,1,	,1,
,2323555374,	,2692720404,	,1,	,0,
,133663801,	,537220119,	,1,	,0,
,39218878,	,1149260660,	,1,	,0,
,773100678,	,217070822,	,1,	,0,
,2823034825,	,2822370127,	,1,	,0,
,244137374,	,104600292,	,1,	,0,
,1472033731,	,2559635058,	,1,	,0,
