nom,heures
20minutes.fr,0
bastamag.net,0
bfmtv.com,0
franceinfo.fr,0
francetvinfo.fr,0
huffingtonpost.fr,0
la-croix.com,0
latribune.fr,0
lci.tf1.fr,0
lefigaro.fr,0
lemonde.fr,0
leparisien.fr,0
lepoint.fr,0
lequipe.fr,0
lesechos.fr,0
lexpress.fr,0
liberation.fr,0
melty.fr,0
metronews.fr,0
nouvelobs.com,0
ouest-france.fr,0
republicain-lorrain.fr,0
rue89.nouvelobs.com,0
