date_article,delai,jours,heures,nbt,nbrt,nbtmedia,nbrtmedia,nbimages,nbvideos,titre,media
23/06/2014 22:39,0,0,0,3,3,0,0,0,0,Karrueche Tran angélique en crop top pour une baby shower sur Instagram,melty.fr
27/08/2014 14:17,0,0,0,2,2,0,0,0,0,Grey's Anatomy saison 11 : Nouvelle bannière promotionnelle !,melty.fr
14/04/2014 19:57,1,0,0,1,1,0,0,0,0,Bachelor saison 2; Martika lookée avec sa maman et Paul le 14 avril,melty.fr
08/07/2014 09:49,1,0,0,1,1,1,1,0,0,Lampaul-Guimiliau. L'occupation de l'abattoir Gad a pris fin  ,ouest-france.fr
12/05/2014 17:11,1,0,2,4,4,1,1,0,0,Saint-Brieuc. Un violente collision à Saint-Michel  ,ouest-france.fr
25/02/2014 06:08,1,0,0,1,1,1,1,0,0,Pretty Little Liars saison 4 : Troian Bellisario est fiancée !,melty.fr
16/08/2014 10:34,1,2,46,18,14,4,4,0,0,Nos étoiles contraires : De nouvelles images du film dévoilées ! (Exclu),melty.fr
24/09/2014 08:25,2,1,13,3,2,0,0,0,0,Les skateurs à la conquête de l'île de Nantes,20minutes.fr
31/05/2013 11:07,1,0,0,1,1,1,1,0,0,Des poissons OGM toujours plus gros et plus voraces,bastamag.net
26/05/2014 08:37,0,0,0,1,1,0,0,0,0,Etats-Unis : Une fusillade en Californie fait 7 morts,melty.fr
28/07/2014 17:01,1,0,0,3,2,1,1,0,0,Accident sur la RN12. Une voiture fait un tonneau à Plestan  ,ouest-france.fr
14/08/2014 07:06,1,0,2,6,6,0,0,0,0,Game of Thrones : La fin de la série sur Internet !,melty.fr
30/09/2014 14:14,1,0,0,6,6,0,0,0,0,Secret Story 8 : Jessica et Stefan partagent leurs retrouvailles sur Instagram,melty.fr
14/04/2014 15:05,0,5,115,4,4,1,1,0,0,Jenifer enceinte et en formes pour le prime de The Voice 3,melty.fr
25/06/2014 09:02,0,30,723,8,6,0,0,0,0,Les plus gros fails de check entre bros,melty.fr
12/09/2014 16:32,1,0,0,1,1,1,1,0,0,Gastronomie. Frédéric Godineau; préside les Tables de la Mayenne  ,ouest-france.fr
28/05/2014 08:28,0,0,4,7,6,2,2,0,0,Game of Thrones saison 4 : Episode 8; les photos promo dévoilées !,melty.fr
13/09/2014 07:44,1,0,3,14,3,0,0,1,0,Monaco : Les joueurs sommés de se taire,bfmtv.com
01/08/2014 23:38,1,2,38,18,6,0,0,0,0,Leïla de Secret Story 8 au prime du 1er août 2014 glamour en bleu électrique,melty.fr
25/09/2014 14:56,1,0,0,4,4,2,2,0,0,Chicago Fire saison 3 : Épisode 1; la série réalise son plus beau lancement,melty.fr
27/08/2014 10:04,1,0,2,8,1,1,1,0,0,Coupe de la Ligue : coup d'arrêt pour le DFCO à Laval,francetvinfo.fr
01/10/2014 18:28,0,1,18,22,10,0,0,0,0,American Horror Story saison 4 : Le générique de Freak Show dévoilé !,melty.fr
13/10/2014 20:03,0,0,0,2,2,2,2,0,0,The Mortal Instruments : La suite transformée en série télé,melty.fr
30/08/2014 09:29,0,3,62,14,8,0,0,0,0,The Leftovers : Episode 10; la vidéo promo du season finale !,melty.fr
03/04/2014 10:18,1,0,2,2,1,0,0,0,0,House Of Lies saison 3 : Episode 12; la vidéo promo et deux sneak peeks dévoilés !,melty.fr
11/08/2014 07:15,1,0,9,4,3,0,0,0,0,Golf. Rory McIlroy; le retour du patron  ,ouest-france.fr
30/07/2014 20:49,1,2,56,19,9,1,1,0,0,Tennis. ATP Washington. Fin de parcours pour Paire et Chardy  ,ouest-france.fr
09/05/2014 17:43,0,0,0,1,1,0,0,0,0,Kylie Jenner en tie and dye bicolore et mini short sur Instagram; on aime?,melty.fr
03/02/2014 00:17,1,0,0,1,1,1,1,0,0,Super Bowl 2014 : Seattle Seahawks vs Denver Broncos 8-0; résumé du 1er quart-temps !,melty.fr
11/09/2014 19:16,1,0,1,4,4,0,0,0,0,Nabilla dans TPMP; Ayem sur June; Caroline Receveur et Wandertea : Elles tournent la page télé-réalité ? Les réactions Twitter,melty.fr
19/05/2014 17:41,0,0,0,1,1,0,0,0,0,Cannes 2014; Leïla Bekhti glamour en Alaïa avec Freida Pinto,melty.fr
07/10/2014 05:55,1,0,0,1,1,1,1,0,0,Prix Nobel 2014 : Le Prix de physique annoncé aujourd'hui !,melty.fr
21/06/2014 23:52,1,0,1,4,4,2,2,0,0,Coupe du Monde 2014 : Nigeria-Bosnie Herzégovine 1-0; les Super Eagles s'envolent en 8èmes !,melty.fr
30/09/2014 10:50,1,13,315,363,254,3,3,0,0,Paul Budnitz; créateur d'Ello : « la publicité; c'est le diable »,lemonde.fr
02/08/2014 00:15,1,3,82,30,10,0,0,0,0,Joanna de Secret Story 8 au prime du 1er août 2014 pétillante en robe décolleté dorée,melty.fr
04/08/2014 16:08,1,2,40,5,5,0,0,0,0,Khloé Kardashian élégante en noir pour dîner avec Kourtney dans les Hamptons,melty.fr
02/10/2014 20:00,0,0,1,18,8,4,2,0,0,Les Anges de la télé-réalité 7 : Jessica (SS8) et Anthony (LPDA) au casting ?,melty.fr
15/04/2014 23:05,1,0,0,1,1,0,0,0,0,Kim Kardashian en 2 robes Balmain avec Kanye West et Olivier Rousteing à Paris,melty.fr
09/07/2012 11:27,1,0,0,1,1,1,1,0,0,Pesticide cruiser : les étranges évaluations des autorités sanitaires,bastamag.net
16/01/2014 06:55,0,0,0,1,1,0,0,0,0,En France; 11 000 fraudeurs fiscaux se sont dénoncés en moins d’un an,rue89.nouvelobs.com
28/08/2014 14:00,1,0,7,6,4,0,0,0,0,Arrow Saison 3 : Nouvelle vidéo promo !,melty.fr
04/04/2014 04:49,1,0,4,6,3,1,1,0,0,Festival de Cannes 2014 : Lambert Wilson maître de cérémonie !,melty.fr
04/04/2014 13:39,1,2,42,6,6,0,0,0,0,Ségolène Royal s'étonne de la polémique qu'elle a déclenché sur l'écotaxe,francetvinfo.fr
25/07/2014 06:22,1,0,0,1,1,0,0,0,0,Panauti (Népal),lemonde.fr
19/02/2014 12:29,1,0,0,1,1,1,1,0,0,Municipales : une centenaire candidate sur une liste FN à Saint-Genis-Laval,leparisien.fr
03/04/2014 18:34,1,0,0,1,1,1,1,0,0,Glee Saison 6 : Ian Brennan parle de la saison prochaine !,melty.fr
06/05/2014 16:31,0,1,16,3,3,0,0,0,0,Iker Casillas dans les filets du fisc espagnol,metronews.fr
29/09/2014 12:00,1,8,193,10,8,0,0,0,0,McDonald’s : M et M bacon de retour le 7 octobre,melty.fr
25/07/2014 16:25,1,0,0,5,2,0,0,0,0,Air France annonce la reprise de ses vols sur Tel-Aviv,francetvinfo.fr
14/05/2014 14:20,0,0,0,2,2,1,1,0,0,Cannes 2014 : De 1946 à nos jours; l'évolution de la cérémonie en chiffres,melty.fr
08/04/2014 20:32,1,1,21,4,4,0,0,0,0,Kim Kardashian : Si elle pose nue; Kanye West dirigera le shooting !,melty.fr
06/02/2014 11:15,2,66,1586,2,2,1,1,0,0,Ressemer sa récolte n’est finalement pas considéré comme une contrefaçon,bastamag.net
08/10/2014 13:19,1,0,1,2,1,0,0,0,0,Au meilleur de leur forme; qui aurait gagné ce combat ?,bfmtv.com
04/08/2014 14:24,0,0,0,2,2,2,2,0,0,American Horror Story Saison 4 : Acteurs et producteurs se confient sur la saison prochaine !,melty.fr
15/01/2014 10:58,1,51,1223,3,1,3,1,0,0,Mobilisation pour l’employé de Veolia qui refusait de couper l’eau,bastamag.net
06/10/2014 13:40,0,0,2,6,6,2,2,0,0,Annabelle et Gone Girl en tête du box-office US !,melty.fr
24/08/2014 16:51,1,23,546,174,123,1,1,0,0,"""Greffer un visage; c'est redonner un sourire""",lemonde.fr
29/05/2014 21:31,1,0,1,5,4,0,0,0,0,Kylie Jenner en total look noir sur Instagram avec ses amis; on adopte la tendance ?,melty.fr
30/09/2014 21:56,0,1,21,10,10,2,2,0,0,Emma Watson (enfin) dans le film La Belle et la Bête ?,melty.fr
21/09/2014 16:13,1,2,40,32,18,0,0,0,0,Secret Story 8 : Finale; Leïla gagnante selon les internautes,melty.fr
24/06/2014 09:32,1,10,239,8,5,1,1,0,0,Expo au Louvre-Lens : la guerre; de l’héroïsme au désenchantement,la-croix.com
07/10/2014 12:50,1,6,144,21,6,1,1,0,0,L’ESSEC Business School organise du 13 au 18 octobre 2014 la première semaine de l’engagement.,lepoint.fr
18/04/2014 04:35,1,0,1,3,2,1,1,0,0,Brad Pitt : Gagnez un rendez-vous avec l'acteur !,melty.fr
22/05/2014 17:15,2,0,0,2,1,0,0,0,0,Anaïs des Anges 6 en chemisier girly à Cannes avec Eddy et Jamel sur Instagram,melty.fr
